rank,dead,online,name,level,class,id,experience,account,challenges,twitch,ladder
1370,FALSE,FALSE,AdelswardsArgaAndar,91,Necromancer,b7c4b12042d822c0f8edf4d62373c66df737e9eca4406c186a33fd9ea711a529,2100993233,Skrivmaskinen,27,null,SSF Harbinger
1370,TRUE,FALSE,ooOooOoooOOOOOOooooa,95,Slayer,ebdf1146160bbb44dcf3d6bbc68e1a573a228e0e5c4389fc49f5c4324b40787a,2916298593,sss111,40,null,Hardcore Harbinger
1370,FALSE,TRUE,Made_in_AbySS_Hunter,98,Raider,f678a2107490caef6c53b2f51b421f531dd4c90aa1df926986c7585257173421,3888070851,Deadnote_Dniwe,40,null,Harbinger
1371,FALSE,FALSE,JesusKilledElvis,98,Necromancer,aacc8e74de5c4a275765174b133f17d287e5da8976da22f6eb2367ce0a2f022e,3886124216,Zuke_,19,null,Harbinger
1371,FALSE,FALSE,LulaPaluza,91,Necromancer,b4c81259f372aac9b6ada6dfff2f1188710da6acc13e04b59bb6b524f58566bd,2100807955,cremaster,23,null,SSF Harbinger
1371,TRUE,FALSE,Xaeveee,88,Necromancer,ec11156a2da84cd97c06d275feca4689d9c5d384d74195cb33f271967cb9b049,1646943474,Pheno66,36,pheno66,SSF Harbinger HC
1371,FALSE,FALSE,GhbeatsWackYoureGone,95,Berserker,f38b279f9a38b99f525956d95721a60525959a9afed852a8756e94da2751a932,2916202642,Ghbeats,40,ghbeats,Hardcore Harbinger
1372,FALSE,FALSE,StratoWander,91,Ascendant,2e913a56c2a479140cf6f7a75edf07841e32c72787afd3a5a060b5350f9f786c,2100780506,Strato_,37,null,SSF Harbinger
1372,FALSE,FALSE,KiiaKondylooma,98,Necromancer,7fb09efd7553842bcc7a6aaa15c0380ecca9603653573c62763b7b7b6ae60ade,3881936758,kreisibailaaja,27,null,Harbinger
1372,TRUE,FALSE,Wayne_Sparrog,95,Berserker,835cb542763bff6506caf4d4a7d1bcd38da608013b8a55c08a4b9138bf85916f,2915945666,Sparrog,25,null,Hardcore Harbinger
1372,TRUE,FALSE,_StupidNoob_,88,Berserker,f814635998ef5a29ba0a2be4d95706cdd18b6e862ffff08d3b075fd34d64d5a3,1646943474,coactusinfinitus,20,null,SSF Harbinger HC
1373,TRUE,FALSE,TByHkep,95,Guardian,317b763fa01b777a29899b93befe6f107771dc9f093a47f5ebba81e6c22dee72,2915783719,dante181818,40,null,Hardcore Harbinger
1373,FALSE,FALSE,Stayways,98,Raider,669e9848e668a97e0b2c8c3d56fed4e731e80a5d4bd010b726360c6906b0522b,3877979393,stayway1,18,null,Harbinger
1373,FALSE,FALSE,Dipsypow,91,Juggernaut,a3e990b6dcbca12a2c5ed0377e69cda298c1561b0338d611bc4c5553a9bd2405,2100680536,Sungamtonk,21,null,SSF Harbinger
1373,FALSE,FALSE,Dusbinger,87,Chieftain,d9dbc2dd926e82a99f0147e54915dad56f1974dd72a33aa709a9711c0af0d840,1645208589,Duslol,26,null,SSF Harbinger HC
1374,FALSE,FALSE,SpinToController,91,Slayer,23a492695555531b81cd9d3ba97249b03c12d3b2c90b0e6d799598b2b09d1ac3,2100648305,Fav91,36,fav91,SSF Harbinger
1374,TRUE,FALSE,Kerkrom_Craftbot,95,Slayer,8e8dca915f536f421236eceaf5c587e96745c5debd9b46c07b3105ffd7ca5d06,2915392931,Kerkrom,39,null,Hardcore Harbinger
